Journal Abbreviation,Journal Name,Article,Author,Year,Volume
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,"Shared Mobility for Last-Mile Delivery: Design, Operational Prescriptions, and Environmental Impact","Qi, Wei; Li, Lefei; Liu, Sheng; Shen, Zuo-Jun Max",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,Getting the Incentives Right: Backfilling and Biases in Executive Compensation Data,"Gillan, Stuart L.; Hartzell, Jay C.; Koch, Andrew; Starks, Laura T.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Managerial Views of Corporate Impacts and Dependencies on Ecosystem Services: A Case of International and Domestic Forestry Companies in China,"D'Amato, D.; Wan, M.; Li, N.; Rekola, M.; Toppinen, A.",2018,
HRM,HUMAN RESOURCE MANAGEMENT,The HR role in corporate social responsibility and sustainability: A boundary-shifting literature review,"De Stefano, Federica; Bagdadli, Silvia; Camuffo, Arnaldo",2018,
MISQ,MIS QUARTERLY,"TUNING OUT SECURITY WARNINGS: A LONGITUDINAL EXAMINATION OF HABITUATION THROUGH fMRI, EYE TRACKING, AND FIELD EXPERIMENTS","Vance, Anthony; Jenkins, Jeffrey L.; Anderson, Bonnie Brinton; Bjornn, Daniel K.; Kirwan, C. Brock",2018,
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,A general theory of springboard MNEs,"Luo, Yadong; Tung, Rosalie L.",2018,
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,The role of leadership in salespeople's price negotiation behavior,"Alavi, Sascha; Habel, Johannes; Guenzi, Paolo; Wieseke, Jan",2018,
MKTGSC,MARKETING SCIENCE,The Evolution of Influence Through Endogenous Link Formation,"Phan, Tuan Q.; Godes, David",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Work-Family Spillover and Crossover Effects of Sexual Harassment: The Moderating Role of Work-Home Segmentation Preference,"Xin, Jie; Chen, Shouming; Kwan, Ho Kwong; Chiu, Randy K.; Yim, Frederick Hong-kit",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Executive succession: The importance of social capital in CEO appointments,"Wiersema, Margarethe F.; Nishimura, Yoichiro; Suzuki, Katsushi",2018,
OSTD,ORGANIZATION STUDIES,Children Without Bruised Knees: Responding to Material and Ideational (Mis)alignments,"Raaijmakers, Aafke; Vermeulen, Patrick A. M.; Meeus, Marius T. H.",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Uncertainty about managers' reporting objectives and investors' response to earnings reports: Evidence from the 2006 executive compensation disclosures,"Ferri, Fabrizio; Zheng, Ronghuo; Zou, Yuan",2018,66
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,Pricing hybrid bundles by understanding the drivers of willingness to pay,"Meyer, Jeffrey; Shankar, Venkatesh; Berry, Leonard L.",2018,
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Trade Credit Financing Under Competition and Its Impact on Firm Performance in Supply Chains,"Lee, Hsiao-Hui; Zhou, Jianer; Wang, Jingqi",2018,20
RP,RESEARCH POLICY,"The ""human side"" of open innovation: The role of employee diversity in firm-level openness","Bogers, Marcel; Foss, Nicolai J.; Lyngsie, Jacob",2018,
AER,AMERICAN ECONOMIC REVIEW,The Costs of Patronage: Evidence from the British Empire,"Xu, Guo",2018,108
JBE,JOURNAL OF BUSINESS ETHICS,Why so Few Women on Boards of Directors? Empirical Evidence from Danish Companies in 1998-2010,"Smith, Nina; Parrotta, Pierpaolo",2018,
JBE,JOURNAL OF BUSINESS ETHICS,"Ethical Leadership, Organic Organizational Cultures and Corporate Social Responsibility: An Empirical Study in Social Enterprises","Pasricha, Palvi; Singh, Bindu; Verma, Pratibha",2018,
HBR,HARVARD BUSINESS REVIEW,One CEO's Approach to Managing His Calendar,"McGinn, Daniel; Higgins, Sarah; Gentile, Tom",2018,
RFIN,REVIEW OF FINANCE,ECB Policies Involving Government Bond Purchases: Impact and Channels,"Krishnamurthy, Arvind; Nagel, Stefan; Vissing-Jorgensen, Annette",2018,
JCR,JOURNAL OF CONSUMER RESEARCH,Automated Text Analysis for Consumer Research,"Humphreys, Ashlee; Wang, Rebecca Jen-Hui",2018,
RP,RESEARCH POLICY,Simultaneous pursuit of discovery and invention in the US Department of Energy,"Goldstein, Anna P.; Narayanamurti, Venkatesh",2018,47
ROFS,REVIEW OF FINANCIAL STUDIES,Mortgage Supply and Housing Rents,"Gete, Pedro; Reher, Michael",2018,31
JCP,JOURNAL OF CONSUMER PSYCHOLOGY,Measuring Processing Fluency: One versus Five Items,"Graf, Laura K. M.; Mayer, Stefan; Landwehr, Jan R.",2018,
HBR,HARVARD BUSINESS REVIEW,HOW TO HIRE,"McCord, Patty",2018,
MS,MANAGEMENT SCIENCE,Competitive vs. Complementary Effects in Online Social Networks and News Consumption: A Natural Experiment,"Sismeiro, Catarina; Mahmood, Ammara",2018,64
ECMTR,ECONOMETRICA,Identifying Long-Run Risks: A Bayesian Mixed-Frequency Approach,"Schorfheide, Frank; Song, Dongho; Yaron, Amir",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,"Banks, Firms, and Jobs","Berton, Fabio; Mocetti, Sauro; Presbitero, Andrea F.; Richiardi, Matteo",2018,
JM,JOURNAL OF MARKETING,Status Games: Market Driving Through Social Influence in the US Wine Industry,"Humphreys, Ashlee; Carpenter, Gregory S.",2018,82
JBE,JOURNAL OF BUSINESS ETHICS,"Corporate Reputation's Invisible Hand: Bribery, Rational Choice, and Market Penalties","Sampath, Vijay S.; Gardberg, Naomi A.; Rahman, Noushi",2018,
JMAN,JOURNAL OF MANAGEMENT,"In the Horns of the Dilemma: Socioemotional Wealth, Financial Wealth, and Acquisitions in Family Firms","Gomez-Mejia, Luis R.; Patel, Pankaj C.; Zellweger, Thomas M.",2018,
JMAN,JOURNAL OF MANAGEMENT,Analyzing Analyst Research: A Review of Past Coverage and Recommendations for Future Research,"Brauer, Matthias; Wiersema, Margarethe",2018,
ASQ,ADMINISTRATIVE SCIENCE QUARTERLY,Anchored Personalization in Managing Goal Conflict between Professional Groups: The Case of US Army Mental Health Care,"DiBenigno, Julia",2018,63
OR,OPERATIONS RESEARCH,Clearinghouse Margin Requirements,"Capponi, Agostino; Cheng, W. Allen",2018,66
OR,OPERATIONS RESEARCH,A Stochastic Latent Moment Model for Electricity Price Formation,"Gianfreda, Angelica; Bunn, Derek",2018,66
JBE,JOURNAL OF BUSINESS ETHICS,Mandatory Corporate Social Responsibility (CSR) Reporting and Financial Reporting Quality: Evidence from a Quasi-Natural Experiment,"Wang, Xue; Cao, Feng; Ye, Kangtao",2018,
HBR,HARVARD BUSINESS REVIEW,FINDING YOUR COMPANY'S SECOND ACT How to survive the success of a big-bang disruption,"Downes, Larry; Nunes, Paul",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Selling Innovative Products in the Presence of Externalities,"Huang, Yufei; Gokpinar, Bilal; Tang, Christopher S.; Yoo, Onesun Steve",2018,
RP,RESEARCH POLICY,Product innovation rumors as forms of open innovation,"Hannigan, Timothy R.; Seidel, Victor P.; Yakis-Douglas, Basak",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Financial market frictions and diversification,"Matvos, Gregor; Seru, Amit; Silva, Rui C.",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,"Theory, research design assumptions, and causal inferences","Armstrong, Christopher S.; Kepler, John D.",2018,66
RP,RESEARCH POLICY,Serendipity: Towards a taxonomy and a theory,"Yaqub, Ohid",2018,
RP,RESEARCH POLICY,Collingridge and the dilemma of control: Towards responsible and accountable innovation,"Genus, Audley; Stirling, Andy",2018,
AMJ,ACADEMY OF MANAGEMENT JOURNAL,STRATEGIZING AND THE INITIATION OF INTERORGANIZATIONAL COLLABORATION THROUGH PROSPECTIVE RESOURCING,"Deken, Fleur; Berends, Hans; Gemser, Gerda; Lauche, Kristina",2018,61
MKTGSC,MARKETING SCIENCE,Practice Prize Report: The 2016 ISMS Gary Lilien Practice Prize Competition,"Roberts, John H.",2018,
MS,MANAGEMENT SCIENCE,Betting Your Favorite to Win: Costly Reluctance to Hedge Desired Outcomes,"Morewedge, Carey K.; Tang, Simone; Larrick, Richard P.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Voluntarily Disclosing Prosocial Behaviors in Korean Firms,"Griffin, Jennifer J.; Youm, Yoo Na",2018,153
MS,MANAGEMENT SCIENCE,Individual Reaction to Past Performance Sequences: Evidence from a Real Marketplace,"Andrikogiannopoulou, Angie; Papakonstantinou, Filippos",2018,
OR,OPERATIONS RESEARCH,On the Capacity of Information Processing Systems,"Massoulie, Laurent; Xu, Kuang",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Firm-Level Determinants of Political CSR in Emerging Economies: Evidence from India,"Shirodkar, Vikrant; Beddewela, Eshani; Richter, Ulf Henning",2018,
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Does corporate hedging attract foreign institutional investors? Evidence from international firms,"Massa, Massimo; Zhang, Lei",2018,
MS,MANAGEMENT SCIENCE,Competing by Restricting Choice: The Case of Matching Platforms,"Halaburda, Hanna; Piskorski, Mikolaj Jan; Yildirim, Pinar",2018,
ISR,INFORMATION SYSTEMS RESEARCH,Platform Architecture and Quality Trade-offs of Multihoming Complements,"Cennamo, Carmelo; Ozalp, Hakan; Kretschmer, Tobias",2018,
MS,MANAGEMENT SCIENCE,"Revenue-Maximizing Mechanisms with Strategic Customers and Unknown, Markovian Demand","Gershkov, Alex; Moldovanu, Benny; Strack, Philipp",2018,
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Short-Term Debt and Bank Risk,"du, Brian; Palia, Darius",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Surrendering control to gain advantage: Reconciling openness and the resource-based view of the firm,"Alexy, Oliver; West, Joel; Klapper, Helge; Reitzig, Markus",2018,
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,Effectiveness of bonus and penalty incentive contracts in supply chain exchanges: Does national culture matter?,"Lee, Yun Shin; Ribbink, Dina; Eckerd, Stephanie",2018,
JBE,JOURNAL OF BUSINESS ETHICS,"Villains, Victims, and Verisimilitudes: An Exploratory Study of Unethical Corporate Values, Bullying Experiences, Psychopathy, and Selling Professionals' Ethical Reasoning","Valentine, Sean; Fleischman, Gary; Godkin, Lynn",2018,
OR,OPERATIONS RESEARCH,Convergence of the Core in Assignment Markets,"Kanori, Yash; Saban, Daniela; Sethuraman, Jay",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,The Myth of the Credit Spread Puzzle,"Feldhutter, Peter; Schaefer, Stephen M.",2018,
JMS,JOURNAL OF MANAGEMENT STUDIES,"Making a Niche: The Marketization of Management Research and the Rise of ""Knowledge Branding'","Mehrpouya, Afshin; Willmott, Hugh",2018,
JBE,JOURNAL OF BUSINESS ETHICS,"Busy Auditors, Ethical Behavior, and Discretionary Accruals Quality in Malaysia","Lai, Karen M. Y.; Sasmita, Andriyawan; Gul, Ferdinand A.; Foo, Yee Boon; Hutchinson, Marion",2018,
OR,OPERATIONS RESEARCH,Generating Random Networks Without Short Cycles,"Bayati, Mohsen; Montanari, Andrea; Saberi, Amin",2018,66
MS,MANAGEMENT SCIENCE,Social Risk and the Dimensionality of Intentions,"Butler, Jeffrey V.; Miller, Joshua B.",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Production Process Moves: Template Use and the Need to Adapt,"Kent, Pettis; Siemsen, Enno",2018,
OSTD,ORGANIZATION STUDIES,History as a Source of Organizational Identity Creation,"Oertel, Simon; Thommes, Kirsten",2018,39
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Threshold-Based Allocation Policies for Inventory Management of Red Blood Cells,"Sarhangian, Vahid; Abouee-Mehrizi, Hossein; Baron, Opher; Berman, Oded",2018,
MISQ,MIS QUARTERLY,"CONSUMER PREFERENCES, CANNIBALIZATION, AND COMPETITION: EVIDENCE FROM THE PERSONAL COMPUTER INDUSTRY","Li, Bin; Li, Xinxin; Liu, Hongju",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Making Drones to Kill Civilians: Is it Ethical?,"Byrne, Edmund F.",2018,
ISR,INFORMATION SYSTEMS RESEARCH,The Impact of User Personality Traits on Word of Mouth: Text-Mining Social Media Platforms,"Adamopoulos, Panagiotis; Ghose, Anindya; Todri, Vilma",2018,29
HR,HUMAN RELATIONS,Coding military command as a promiscuous practice? Unsettling the gender binaries of leadership metaphors,"Ashcraft, Karen Lee; Muhr, Sara Louise",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Strategy processes and practices: Dialogues and intersections,"Burgelman, Robert A.; Floyd, Steven W.; Laamanen, Tomi; Mantere, Saku; Vaara, Eero; Whittington, Richard",2018,
AER,AMERICAN ECONOMIC REVIEW,Taking a Financial Position in Your Opponent in Litigation,"Choi, Albert H.; Spier, Kathryn E.",2018,108
AR,ACCOUNTING REVIEW,Banks' Financial Reporting Frequency and Asset Quality,"Balakrishnan, Karthik; Ertan, Aytekin",2018,
JMAN,JOURNAL OF MANAGEMENT,Not All Ties Are Equal: CEO Outside Directorships and Strategic Imitation in R&D Investment,"Oh, Won-Yong; Barker, Vincent L., III",2018,
QJE,QUARTERLY JOURNAL OF ECONOMICS,RELIGIOUS COMPETITION AND REALLOCATION: THE POLITICAL ECONOMY OF SECULARIZATION IN THE PROTESTANT REFORMATION,"Cantoni, Davide; Dittmar, Jeremiah; Yuchtman, Noam",2018,133
MS,MANAGEMENT SCIENCE,Behavior-Based Advertising,"Shen, Qiaowei; Villas-Boas, J. Miguel",2018,
ETP,ENTREPRENEURSHIP THEORY AND PRACTICE,Who Are Your Friends? The Influence of Identification and Family In-Group and Out-Group Friendships on Nonfamily Employee OCB and Deviance,"Marler, Laura E.; Stanley, Laura J.",2018,
JMAN,JOURNAL OF MANAGEMENT,Sticky Decisions: Anchoring and Equity Stakes in International Acquisitions,"Malhotra, Shavin; Morgan, Horatio M.; Zhu, PengCheng",2018,44
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,The evolution of vertical boundaries in new high technology ventures,"Hashai, Niron; Zander, Ivo",2018,12
JMR,JOURNAL OF MARKETING RESEARCH,Talk Bursts: The Role of Spikes in Prerelease Word-of-Mouth Dynamics,"Gelper, Sarah; Peres, Renana; Eliashberg, Jehoshua",2018,55
HR,HUMAN RELATIONS,Configuring shared and hierarchical leadership through authoring,"Holm, Flemming; Fairhurst, Gail T.",2018,
MS,MANAGEMENT SCIENCE,The Operational Advantages of Threshold Discounting Offers,"Marinesi, Simone; Girotra, Karan; Netessine, Serguei",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,"Determinants of alliance partner choice: Network distance, managerial incentives, and board monitoring","Kang, Ribuga; Zaheer, Akbar",2018,39
JBE,JOURNAL OF BUSINESS ETHICS,Embedding Ethics: Dialogic Partnerships and Communitarian Business Ethics,"Macklin, Rob; Mathison, Karin",2018,153
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Contracting Models for P2P Content Distribution,"Ghasemkhani, Hossein; Li, Yung-Ming; Moinzadeh, Kamran; Tan, Yong",2018,27
ROFS,REVIEW OF FINANCIAL STUDIES,Managing the Family Firm: Evidence from CEOs at Work,"Bandiera, Oriana; Lemos, Renata; Prat, Andrea; Sadun, Raffaella",2018,
JCR,JOURNAL OF CONSUMER RESEARCH,"Coke vs. Pepsi: Brand Compatibility, Relationship Power, and Life Satisfaction","Brick, Danielle J.; Fitzsimons, Grainne M.; Chartrand, Tanya L.; Fitzsimons, Gavan J.",2018,
AMJ,ACADEMY OF MANAGEMENT JOURNAL,"EVENHANDEDNESS IN RESOURCE ALLOCATION: ITS RELATIONSHIP WITH CEO IDEOLOGY, ORGANIZATIONAL DISCRETION, AND FIRM PERFORMANCE","Gupta, Abhinav; Briscoe, Forrest; Hambrick, Donald C.",2018,61
ROFS,REVIEW OF FINANCIAL STUDIES,Housing Price Booms and Crowding-Out Effects in Bank Lending,"Chakraborty, Indraneel; Goldstein, Itay; MacKinlay, Andrew",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,"Firm performance, reporting goals, and language choices in narrative disclosures","Asay, H. Scott; Libby, Robert; Rennekamp, Kristina",2018,
OSTD,ORGANIZATION STUDIES,"Reflexive dis/embedding: Personal narratives, empowerment and the emotional dynamics of interstitial events","Ruebottom, Trish; Auster, Ellen R.",2018,
RFIN,REVIEW OF FINANCE,Oil Prices and the Stock Market,"Ready, Robert C.",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Can Strategic Customer Behavior Speed Up ProductInnovation?,"Liang, Chao; Cakanyildirim, Metin; Sethi, Suresh P.",2018,
HRM,HUMAN RESOURCE MANAGEMENT,A Piece of the Pie? The Effects of Familial Control Enhancements on the Use of Broad-Based Employee Ownership Programs in Family Firms,"Mullins, Frank",2018,
ETP,ENTREPRENEURSHIP THEORY AND PRACTICE,Externally Acquired or Internally Generated? Knowledge Development and Perceived Environmental Dynamism in New Venture Innovation,"McKelvie, Alexander; Wiklund, Johan; Brattstrom, Anna",2018,
MS,MANAGEMENT SCIENCE,A Theory of Disclosure in Speculative Markets,"Hertzberg, Andrew",2018,64
MS,MANAGEMENT SCIENCE,The Informational Role of Corporate Hedging,"Manconi, Alberto; Massa, Massimo; Zhang, Lei",2018,
JBE,JOURNAL OF BUSINESS ETHICS,When Leaders Stifle Innovation in Work Teams: The Role of Abusive Supervision,"Rousseau, Vincent; Aube, Caroline",2018,
JAR,JOURNAL OF ACCOUNTING RESEARCH,Investor Behavior and the Benefits of Direct Stock Ownership,"Bernard, Darren; Cade, Nicole L.; Hodge, Frank",2018,
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,The impact of a limited time perspective on information distortion,"Chaxel, Anne-Sophie; Wiggins, Catherine; Xie, Jieru",2018,149
JF,JOURNAL OF FINANCE,Liquidity as Social Expertise,"Kurlat, Pablo",2018,73
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Parallel Aspect-Oriented Sentiment Analysis for Sales Forecasting with Big Data,"Lau, Raymond Yiu Keung; Zhang, Wenping; Xu, Wei",2018,27
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"Internal embeddedness, geographic distance, and global knowledge sourcing by overseas subsidiaries","Asakawa, Kazuhiro; Park, YeonJin; Song, Jaeyong; Kim, Sang-Ji",2018,
AR,ACCOUNTING REVIEW,Executive Bonus Contract Characteristics and Share Repurchases,"Kim, Sunyoung; Ng, Jeff",2018,
OR,OPERATIONS RESEARCH,Using Robust Queueing to Expose the Impact of Dependence in Single-Server Queues,"Whitt, Ward; You, Wei",2018,
JF,JOURNAL OF FINANCE,Capital Commitment and Illiquidity in Corporate Bonds,"Bessembinder, Hendrik; Jacobsen, Stacey; Maxwell, William; Venkataraman, Kumar",2018,73
OSTD,ORGANIZATION STUDIES,In Search of Identity Leadership: An ethnographic study of emergent influence in an interorganizational R&D team,"Smith, Pernille; Haslam, S. Alexander; Nielsen, Jorn F.",2018,39
JBV,JOURNAL OF BUSINESS VENTURING,Entrepreneurial orientation and innovation in family SMEs: Unveiling the (actual) impact of the Board of Directors,"Arzubiaga, Unai; Kotlar, Josip; De Massis, Alfredo; Maseda, Amaia; Iturralde, Txomin",2018,
HR,HUMAN RELATIONS,Servant leadership as a driver of employee service performance: Test of a trickle-down model and its boundary conditions,"Wang, Zhen; Xu, Haoying; Liu, Yukun",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Tax distortions and bond issue pricing,"Landoni, Mattia",2018,
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Are Ratings the Worst Form of Credit Assessment Except for All the Others?,"Bloechlinger, Andreas; Leippold, Markus",2018,
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,Valuing supply-chain responsiveness under demand jumps,"Bicer, Isik; Hagspiel, Verena; de Treville, Suzanne",2018,
AR,ACCOUNTING REVIEW,Do the FASB's Standards Add Shareholder Value?,"Khan, Urooj; Li, Bin; Rajgopal, Shivaram; Venkatachalam, Mohan",2018,
AER,AMERICAN ECONOMIC REVIEW,Advertising and Risk Selection in Health Insurance Markets,"Aizawa, Naoki; Kim, You Suk",2018,
MS,MANAGEMENT SCIENCE,Machine Learning and Portfolio Optimization,"Ban, Gah-Yi; El Karoui, Noureddine; Lim, Andrew E. B.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,The Effect of Board Capital and CEO Power on Corporate Social Responsibility Disclosures,"Muttakin, Mohammad Badrul; Khan, Arifur; Mihret, Dessalegn Getie",2018,
HBR,HARVARD BUSINESS REVIEW,FROM CURIOUS TO COMPETENT,"Fernandez-Araoz, Claudio; Roscoe, Andrew; Aramaki, Kentaro",2018,96
JMIS,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,How Does Social Media Impact Bitcoin Value? A Test of the Silent Majority Hypothesis,"Mai, Feng; Shan, Zhe; Bai, Qing; Wang, Xin (Shane); Chiang, Roger H. L.",2018,
AER,AMERICAN ECONOMIC REVIEW,International Recessions,"Perri, Fabrizio; Quadrini, Vincenzo",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,The Impact of Consumer Fairness Seeking on Distribution Channel Selection: Direct Selling vs. Agent Selling,"Yi, Zelong; Wang, Yulan; Liu, Yun; Chen, Ying-Ju",2018,
ECMTR,ECONOMETRICA,EXPRESSIVE VOTING AND ITS COST: EVIDENCE FROM RUNOFFS WITH TWO OR THREE CANDIDATES,"Pons, Vincent; Tricaud, Clemence",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Leveraging Big Data to Balance New Key Performance Indicators in Emergency Physician Management Networks,"Foster, Krista; Penninti, Pooja; Shang, Jennifer; Kekre, Sunder; Hegde, Gajanan G.; Venkat, Arvind",2018,27
JBE,JOURNAL OF BUSINESS ETHICS,Does Equity Ownership Matter for Corporate Social Responsibility? A Literature Review of Theories and Recent Empirical Findings,"Faller, Christian M.; Knyphausen-Aufsess, Dodo Zu",2018,
AOS,ACCOUNTING ORGANIZATIONS AND SOCIETY,Social movement NGOs and the comprehensiveness of conflict mineral disclosures: evidence from global companies,"Islam, Muhammad Azizul; van Staden, Chris J.",2018,
